Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code,
"W15QKN1790001",,"P00004","0","Other Transaction Award Other Transaction Agreement","$2,138,455.00","Jul 31, 2018",,"2100","DEPT OF THE ARMY","W6QK ACC-PICA","S","AZ14","R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT)",,,"SAN FRANCISCO","CA","941033809",,,"WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"FA945321C0033",,"0","0","DCA Definitive Contract","$87,840.00","Sep 30, 2021","Nov 12, 2020","5700","DEPT OF THE AIR FORCE","FA9453  AFRL RVK","S","AC23","NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; EXPERIMENTAL DEVELOPMENT","927110","SPACE RESEARCH AND TECHNOLOGY","SAINT LOUIS","MO","631011271","NONE","NONE OF THE ABOVE","TFCJCMKNHT74","TFCJCMKNHT74","BOUNDLESS SPATIAL  INC","PLANET LABS FEDERAL, INC.","7YM73",
"80HQTR18A0026",,"P00002",0,"BPA Blanket Purchase Agreement","$0.00","Mar 11, 2020",,"8000","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","NASA HEADQUARTERS","S","R499","SUPPORT- PROFESSIONAL: OTHER","541990","ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","SAN FRANCISCO","CA","941033809","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"80HQTR18A0026",,"P00007",0,"BPA Blanket Purchase Agreement","$0.00","Oct 14, 2021",,"8000","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","NASA HEADQUARTERS","S","R499","SUPPORT- PROFESSIONAL: OTHER","541990","ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","SAN FRANCISCO","CA","941033809","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"80HQTR18A0026",,"P00001",0,"BPA Blanket Purchase Agreement","$0.00","Sep 10, 2019",,"8000","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","NASA HEADQUARTERS","S","R499","SUPPORT- PROFESSIONAL: OTHER","541990","ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","SAN FRANCISCO","CA","941033809","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"80HQTR18A0026",,"P00003",0,"BPA Blanket Purchase Agreement","$0.00","Aug 26, 2020",,"8000","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","NASA HEADQUARTERS","S","R499","SUPPORT- PROFESSIONAL: OTHER","541990","ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","SAN FRANCISCO","CA","941033809","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"80HQTR18A0026",,"P00005",0,"BPA Blanket Purchase Agreement","$0.00","Jun 22, 2021",,"8000","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","NASA HEADQUARTERS","S","R499","SUPPORT- PROFESSIONAL: OTHER","541990","ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","SAN FRANCISCO","CA","941033809","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"80HQTR18A0026",,"P00006",0,"BPA Blanket Purchase Agreement","$0.00","Sep 16, 2021",,"8000","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","NASA HEADQUARTERS","S","R499","SUPPORT- PROFESSIONAL: OTHER","541990","ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","SAN FRANCISCO","CA","941033809","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"W15QKN1790001",,"P00003","0","Other Transaction Award Other Transaction Agreement","$655,000.00","Sep 26, 2017",,"2100","DEPT OF THE ARMY","W6QK ACC-PICA","S","AZ14","R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT)",,,"SAN FRANCISCO","CA","941033809",,,"WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"80HQTR18A0026",,"0",0,"BPA Blanket Purchase Agreement","$0.00","Sep 28, 2018",,"8000","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","NASA HEADQUARTERS","S","R499","SUPPORT- PROFESSIONAL: OTHER","541990","ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","SAN FRANCISCO","CA","941033809","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"80HQTR18A0026",,"P00004",0,"BPA Blanket Purchase Agreement","$0.00","Aug 27, 2020",,"8000","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","NASA HEADQUARTERS","S","R499","SUPPORT- PROFESSIONAL: OTHER","541990","ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","SAN FRANCISCO","CA","941033809","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"1332KP19PNEEB0053",,"P21004","0","PO Purchase Order","$0.00","Nov 16, 2020",,"1330","NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION","DEPT OF COMMERCE NOAA","S","D317","IT AND TELECOM- WEB-BASED SUBSCRIPTION","541360","GEOPHYSICAL SURVEYING AND MAPPING SERVICES","SAINT LOUIS","MO","631011271","NONE","NONE OF THE ABOVE","TFCJCMKNHT74","TFCJCMKNHT74","BOUNDLESS SPATIAL  INC","PLANET LABS FEDERAL, INC.","7YM73",
"GS35F309GA",,"0",0,"FSS Federal Supply Schedule","$0.00","Mar 22, 2017",,"4732","FEDERAL ACQUISITION SERVICE","GSA/FAS CENTER FOR IT SCHEDULE PROG","P","7030","INFORMATION TECHNOLOGY SOFTWARE","511210","SOFTWARE PUBLISHERS","SAN FRANCISCO","CA","941033809",,,"WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"W15QKN1790001",,"0","0","Other Transaction Award Other Transaction Agreement","$1,000,000.00","Mar 31, 2017",,"2100","DEPT OF THE ARMY","W6QK ACC-PICA","S","AZ14","R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT)",,,"SAN FRANCISCO","CA","941033809",,,"WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"W15QKN1790001",,"P00002","0","Other Transaction Award Other Transaction Agreement","$0.00","Jul 7, 2017",,"2100","DEPT OF THE ARMY","W6QK ACC-PICA","S","AZ14","R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT)",,,"SAN FRANCISCO","CA","941033809",,,"WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"12FPC220P0067",,"0","0","PO Purchase Order","$100,766.25","Jun 11, 2020",,"12D0","FARM PRODUCTION AND CONSERVATION BUSINESS CENTER","FPAC BUS CNTR-ACQ DIV-OPS BRA-SEC 2","S","T014","PHOTO/MAP/PRINT/PUBLICATION- TOPOGRAPHY","927110","SPACE RESEARCH AND TECHNOLOGY","SAINT LOUIS","MO","631011208","NONE","NONE OF THE ABOVE","TFCJCMKNHT74","TFCJCMKNHT74","BOUNDLESS SPATIAL  INC","PLANET LABS FEDERAL, INC.","7YM73",
"1333MD22PNEEB0007",,"0","0","PO Purchase Order","$58,279.38","Mar 23, 2022",,"1330","NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION","DEPT OF COMMERCE NOAA","S","R612","SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEVAL","541360","GEOPHYSICAL SURVEYING AND MAPPING SERVICES","SAINT LOUIS","MO","631011271","NONE","NONE OF THE ABOVE","TFCJCMKNHT74","WM89DN7V2AQ5","PLANET LABS INC.","PLANET LABS FEDERAL, INC.","7YM73",
"GS35F309GA",,"PA0026",0,"FSS Federal Supply Schedule","$0.00","Sep 29, 2021",,"4732","FEDERAL ACQUISITION SERVICE","GSA/FAS CENTER FOR IT SCHEDULE PROG","P","7030","INFORMATION TECHNOLOGY SOFTWARE","511210","SOFTWARE PUBLISHERS","SAN FRANCISCO","CA","941073624",,,"WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"GS35F309GA",,"PM0010",0,"FSS Federal Supply Schedule","$0.00","Jun 14, 2018",,"4732","FEDERAL ACQUISITION SERVICE","GSA/FAS CENTER FOR IT SCHEDULE PROG","P","7030","INFORMATION TECHNOLOGY SOFTWARE","511210","SOFTWARE PUBLISHERS","SAN FRANCISCO","CA","941033809",,,"WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"GS35F309GA",,"PO0004DELETESINS",0,"FSS Federal Supply Schedule","$0.00","Aug 2, 2017",,"4732","FEDERAL ACQUISITION SERVICE","GSA/FAS CENTER FOR IT SCHEDULE PROG","P","7030","INFORMATION TECHNOLOGY SOFTWARE","511210","SOFTWARE PUBLISHERS","SAN FRANCISCO","CA","941033809",,,"WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"GS35F309GA",,"PSA812",0,"FSS Federal Supply Schedule","$0.00","Jul 29, 2020",,"4732","FEDERAL ACQUISITION SERVICE","GSA/FAS CENTER FOR IT SCHEDULE PROG","P","7030","INFORMATION TECHNOLOGY SOFTWARE","511210","SOFTWARE PUBLISHERS","SAN FRANCISCO","CA","941073624",,,"WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"W15QKN1790001",,"P00001","0","Other Transaction Award Other Transaction Agreement","$0.00","Jul 7, 2017",,"2100","DEPT OF THE ARMY","W6QK ACC-PICA","S","AZ14","R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT)",,,"SAN FRANCISCO","CA","941033809",,,"WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"GS35F309GA",,"PA0018",0,"FSS Federal Supply Schedule","$0.00","Sep 19, 2019",,"4732","FEDERAL ACQUISITION SERVICE","GSA/FAS CENTER FOR IT SCHEDULE PROG","P","7030","INFORMATION TECHNOLOGY SOFTWARE","511210","SOFTWARE PUBLISHERS","SAN FRANCISCO","CA","941073624",,,"WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"GS35F309GA",,"PM0008",0,"FSS Federal Supply Schedule","$0.00","Jun 7, 2018",,"4732","FEDERAL ACQUISITION SERVICE","GSA/FAS CENTER FOR IT SCHEDULE PROG","P","7030","INFORMATION TECHNOLOGY SOFTWARE","511210","SOFTWARE PUBLISHERS","SAN FRANCISCO","CA","941033809",,,"WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"GS35F309GA",,"PM0015",0,"FSS Federal Supply Schedule","$0.00","Feb 28, 2019",,"4732","FEDERAL ACQUISITION SERVICE","GSA/FAS CENTER FOR IT SCHEDULE PROG","P","7030","INFORMATION TECHNOLOGY SOFTWARE","511210","SOFTWARE PUBLISHERS","SAN FRANCISCO","CA","941073624",,,"WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"GS35F309GA",,"PO0024",0,"FSS Federal Supply Schedule","$0.00","Mar 17, 2022",,"4732","FEDERAL ACQUISITION SERVICE","GSA/FAS CENTER FOR IT SCHEDULE PROG","P","7030","INFORMATION TECHNOLOGY SOFTWARE","511210","SOFTWARE PUBLISHERS","SAN FRANCISCO","CA","941073624",,,"WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"GS35F309GA",,"PSA815",0,"FSS Federal Supply Schedule","$0.00","Jul 31, 2020",,"4732","FEDERAL ACQUISITION SERVICE","GSA/FAS CENTER FOR IT SCHEDULE PROG","P","7030","INFORMATION TECHNOLOGY SOFTWARE","511210","SOFTWARE PUBLISHERS","SAN FRANCISCO","CA","941073624",,,"WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"80HQTR18A0026",,"P00008",0,"BPA Blanket Purchase Agreement","$0.00","Jan 27, 2022",,"8000","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","NASA HEADQUARTERS","S","R499","SUPPORT- PROFESSIONAL: OTHER","541990","ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","SAN FRANCISCO","CA","941033809","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"GS35F309GA",,"PA0027",0,"FSS Federal Supply Schedule","$0.00","Sep 30, 2021",,"4732","FEDERAL ACQUISITION SERVICE","GSA/FAS CENTER FOR IT SCHEDULE PROG","P","7030","INFORMATION TECHNOLOGY SOFTWARE","511210","SOFTWARE PUBLISHERS","SAN FRANCISCO","CA","941073624",,,"WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"GS35F309GA",,"PO0031",0,"FSS Federal Supply Schedule","$0.00","Mar 10, 2022",,"4732","FEDERAL ACQUISITION SERVICE","GSA/FAS CENTER FOR IT SCHEDULE PROG","P","7030","INFORMATION TECHNOLOGY SOFTWARE","511210","SOFTWARE PUBLISHERS","SAN FRANCISCO","CA","941073624",,,"WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"N0017320P0339",,"0","0","PO Purchase Order","$32,383.43","Jun 25, 2020",,"1700","DEPT OF THE NAVY","NAVAL RESEARCH LABORATORY","P","7030","INFORMATION TECHNOLOGY SOFTWARE","511210","SOFTWARE PUBLISHERS","SAN FRANCISCO","CA","941073624","NONE","NONE OF THE ABOVE","WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"GS35F309GA",,"PA0021",0,"FSS Federal Supply Schedule","$0.00","Jan 9, 2021",,"4732","FEDERAL ACQUISITION SERVICE","GSA/FAS CENTER FOR IT SCHEDULE PROG","P","7030","INFORMATION TECHNOLOGY SOFTWARE","511210","SOFTWARE PUBLISHERS","SAN FRANCISCO","CA","941073624",,,"WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
"GS35F309GA",,"PM0007",0,"FSS Federal Supply Schedule","$0.00","Jun 7, 2018",,"4732","FEDERAL ACQUISITION SERVICE","GSA/FAS CENTER FOR IT SCHEDULE PROG","P","7030","INFORMATION TECHNOLOGY SOFTWARE","511210","SOFTWARE PUBLISHERS","SAN FRANCISCO","CA","941033809",,,"WM89DN7V2AQ5","WM89DN7V2AQ5","COSMOGIA INC.","PLANET LABS INC.","6QNX1",
